Rank,Username,Code,Total_Transactions,Total_Amount_Toman
1,mohamadrzmb,REP-MOHAMADRZMB,74,2049900
2,isc_plus,REP-ISC_PLUS,49,1932000
3,Parsmb,REP-PARSMB,42,1365400
4,lngst,REP-LNGST,34,1296000
5,daryamb,REP-DARYAMB,37,1048000
6,Tjmb,REP-TJMB,25,981000
7,ember,REP-EMBER,22,910000
8,btrst,REP-BTRST,1,900000
9,nourbesf,REP-NOURBESF,18,845000
10,fanousesf,REP-FANOUSESF,17,838000
11,naeinimb,REP-NAEINIMB,20,810000
12,emptl,REP-EMPTL,14,801000
13,Phono,REP-PHONO,24,768000
14,sibph,REP-SIBPH,13,708000
15,Mhmd2,REP-MHMD2,27,664000
16,amireza,REP-AMIREZA,12,640000
17,ghoqmb,REP-GHOQMB,22,617600
18,misaghmb,REP-MISAGHMB,13,605000
19,prsmb,REP-PRSMB,22,595000
20,amirsht,REP-AMIRSHT,10,585000
21,marmar,REP-MARMAR,10,576900
22,baranmob,REP-BARANMOB,21,567000
23,ilandesf,REP-ILANDESF,6,525000
24,siblndesf,REP-SIBLNDESF,10,495000
25,ninamc,REP-NINAMC,21,480000
26,Amer,REP-AMER,20,440000
27,azdmd,REP-AZDMD,10,440000
28,sfrykesf,REP-SFRYKESF,11,435000
29,mahaesf,REP-MAHAESF,4,420000
30,Rhmb,REP-RHMB,10,416000
31,gitmob,REP-GITMOB,16,411300
32,Bnkmb,REP-BNKMB,17,404000
33,omidagt,REP-OMIDAGT,16,399000
34,namayande,REP-NAMAYANDE,11,381000
35,Reat,REP-REAT,4,380000
36,loutoosmb,REP-LOUTOOSMB,14,378000
37,Abedmb,REP-ABEDMB,16,376000
38,korshesf,REP-KORSHESF,2,375000
39,khalilzade,REP-KHALILZADE,16,373500
40,Karamad,REP-KARAMAD,18,351000
41,mobsmb,REP-MOBSMB,15,351000
42,asiamb,REP-ASIAMB,13,345000
43,sorena,REP-SORENA,19,342000
44,erfnesf,REP-ERFNESF,8,337500
45,amitsesf,REP-AMITSESF,11,330000
46,prxhmd,REP-PRXHMD,8,324000
47,apl33,REP-APL33,4,320000
48,hsnpuresf,REP-HSNPURESF,7,315000
49,almasmb,REP-ALMASMB,9,285500
50,amirmob,REP-AMIRMOB,11,279000
